Item,City,Price,Month,Year,Category
LPG 11.67 kg Cylinder,Sialkot,3556.86,4,2023,Housing Water & Energy
Telephone Call Charges,Sialkot,1.79,4,2023,Transport & Communication
Toilet Soap LIFEBUOY 115 gm,Sialkot,85.35,4,2023,Personal Care
Wheat Flour Bag,Lahore,2316.0,4,2023,Food & Beverages
Rice Basmati Broken (Average Qualit,Lahore,208.61,4,2023,Food & Beverages
Rice IRRI-6/9 (Sindh/Punjab),Lahore,81.87,4,2023,Food & Beverages
Bread plain (Small Size),Lahore,104.88,4,2023,Food & Beverages
Beef with Bone (Average Quality),Lahore,792.21,4,2023,Food & Beverages
Mutton (Average Quality),Lahore,1825.89,4,2023,Food & Beverages
Chicken Farm Broiler (Live),Lahore,349.46,4,2023,Food & Beverages
Milk fresh (Un-boiled),Lahore,142.12,4,2023,Food & Beverages
Curd (Dahi) Loose,Lahore,168.56,4,2023,Food & Beverages
Powdered Milk NIDO 390 gm Polybag,Lahore,680.0,4,2023,Food & Beverages
Eggs Hen (Farm),Lahore,267.45,4,2023,Food & Beverages
Mustard Oil (Average Quality),Lahore,586.1,4,2023,Food & Beverages
Cooking Oil DALDA or Other Similar B,Lahore,3290.0,4,2023,Food & Beverages
Vegetable Ghee DALDA/HABIB 2.5 kg,Lahore,1550.0,4,2023,Food & Beverages
Vegetable Ghee DALDA/HABIB or Oth,Lahore,605.0,4,2023,Food & Beverages
Bananas (Kela) Local,Lahore,234.36,4,2023,Food & Beverages
Pulse Masoor (Washed),Lahore,259.0,4,2023,Food & Beverages
Pulse Moong (Washed),Lahore,263.7,4,2023,Food & Beverages
Pulse Mash (Washed),Lahore,422.35,4,2023,Food & Beverages
Pulse Gram,Lahore,236.58,4,2023,Food & Beverages
Potatoes,Lahore,70.17,4,2023,Food & Beverages
Onions,Lahore,81.37,4,2023,Food & Beverages
Tomatoes,Lahore,68.36,4,2023,Food & Beverages
Sugar Refined,Lahore,123.15,4,2023,Food & Beverages
Gur (Average Quality),Lahore,166.44,4,2023,Food & Beverages
Salt Powdered (NATIONAL/SHAN) 80,Lahore,50.0,4,2023,Food & Beverages
Chilies Powder NATIONAL 200 gm Pa,Lahore,215.0,4,2023,Food & Beverages
Garlic (Lehsun),Lahore,275.01,4,2023,Food & Beverages
Tea Lipton Yellow Label 190 gm Pack,Lahore,558.82,4,2023,Food & Beverages
Cooked Beef at Average Hotel,Lahore,202.76,4,2023,Food & Beverages
Cooked Daal at Average Hotel,Lahore,113.24,4,2023,Food & Beverages
Tea Prepared Ordinary,Lahore,42.18,4,2023,Food & Beverages
Cigarettes Capstan 20'S Packet,Lahore,220.0,4,2023,Miscellaneous
"Long Cloth 57"" Gul Ahmed/Al Karam",Lahore,550.19,4,2023,Apparel & Footwear
Shirting (Average Quality),Lahore,361.63,4,2023,Apparel & Footwear
Lawn Printed Gul Ahmed/Al Karam,Lahore,669.96,4,2023,Apparel & Footwear
Georgette (Average Quality),Lahore,315.58,4,2023,Apparel & Footwear
Gents Sandal Bata,Lahore,1499.0,4,2023,Apparel & Footwear
Gents Sponge Chappal Bata,Lahore,379.0,4,2023,Apparel & Footwear
Ladies Sandal Bata,Lahore,699.0,4,2023,Apparel & Footwear
Electricity Charges upto 50 Units,Lahore,6.23,4,2023,Housing Water & Energy
Gas Charges upto 3.3719 MMBTU,Lahore,295.0,4,2023,Housing Water & Energy
Firewood Whole,Lahore,1336.09,4,2023,Housing Water & Energy
Energy Saver Philips 14 Watt,Lahore,210.0,4,2023,Household Equipment
Sufi Washing Soap 250 gm Cake,Lahore,125.0,4,2023,Personal Care
Match Box,Lahore,5.5,4,2023,Household Equipment
Petrol Super,Lahore,277.75,4,2023,Transport & Communication
Hi-Speed Diesel,Lahore,293.8,4,2023,Transport & Communication
LPG 11.67 kg Cylinder,Lahore,3278.04,4,2023,Housing Water & Energy
Telephone Call Charges,Lahore,1.79,4,2023,Transport & Communication
Toilet Soap LIFEBUOY 115 gm,Lahore,93.87,4,2023,Personal Care
Wheat Flour Bag,Faisalabad,2315.0,4,2023,Food & Beverages
Rice Basmati Broken (Average Qualit,Faisalabad,243.29,4,2023,Food & Beverages
Rice IRRI-6/9 (Sindh/Punjab),Faisalabad,140.0,4,2023,Food & Beverages
Bread plain (Small Size),Faisalabad,102.41,4,2023,Food & Beverages
Beef with Bone (Average Quality),Faisalabad,766.31,4,2023,Food & Beverages
Mutton (Average Quality),Faisalabad,1557.04,4,2023,Food & Beverages
Chicken Farm Broiler (Live),Faisalabad,367.41,4,2023,Food & Beverages
Milk fresh (Un-boiled),Faisalabad,150.0,4,2023,Food & Beverages
Curd (Dahi) Loose,Faisalabad,170.0,4,2023,Food & Beverages
